947 11327
850 791 18785
451 812 12712
788 651 1696
409 619 6284
406 857 10013
12 436 14385
533 874 10631
12 514 15198
427 917 32283
48 256 15713
832 536 15594
732 616 16152
133 46 26285
628 727 15126
848 504 2334
800 487 5829
552 433 24847
555 256 19605
403 93 25522
102 414 20379
485 142 17874
215 930 25382
374 32 29427
742 161 313
158 321 16264
155 147 238
549 518 18626
82 427 2594
488 734 14768
737 458 5644
932 154 24730
359 574 21626
942 875 28899
295 376 23542
17 677 19676
204 465 7935
381 254 4160
172 944 19220
195 407 8029
127 945 1610
823 309 2068
635 430 1693
183 637 22833
162 160 19014
194 420 2509
390 42 23217
712 295 28089
917 357 3055
855 314 21793
924 220 10423
744 811 9450
33 186 32591
448 396 17017
571 750 24057
396 754 26847
791 210 19894
254 746 13987
726 898 20605
916 416 19105
826 457 9272
193 721 27575
398 327 7717
272 43 18997
607 822 10860
524 489 15177
774 601 27146
279 440 11751
384 249 23906
790 355 21969
521 625 5140
318 533 29909
655 910 2789
143 532 4951
661 62 18141
787 656 12477
415 635 26866
23 464 18786
501 831 30663
814 676 21259
83 301 1399
249 702 21025
433 288 13660
268 919 14621
563 661 2639
91 2 12506
460 651 24549
122 151 985
762 590 4477
141 328 32659
601 257 10317
733 302 1649
173 12 1448
822 679 4607
8 102 28983
266 9 22644
702 140 19159
165 151 31147
363 526 28252
32 540 22296
362 364 11117
895 120 22376
332 106 7722
6 672 8646
432 465 17767
676 735 9723
514 596 31130
773 284 24038
346 703 29652
194 688 27139
512 45 30290
92 615 19948
236 891 28820
233 279 29481
580 473 14075
518 102 1955
880 242 10836
119 209 6798
419 295 1507
556 91 21944
164 837 2760
285 840 10865
818 173 30165
174 4 4233
252 223 10538
132 842 23327
672 786 17719
140 238 31279
139 575 9459
773 684 4384
925 194 24422
299 514 27080
810 826 9433
5 626 18590
86 352 6222
76 225 21001
585 520 13832
314 191 23064
748 119 32332
835 807 28420
442 929 1956
191 492 1096
429 459 24135
903 193 10038
883 915 15997
177 883 26449
942 272 22028
101 212 27604
109 559 23828
720 212 23852
689 58 4330
54 344 9301
614 210 31694
546 193 23380
318 745 2702
829 374 28994
485 143 19830
102 346 18863
727 301 29728
76 708 21053
330 487 11257
184 14 31424
140 452 6045
877 166 31568
633 142 10588
514 893 12554
534 389 21879
780 844 25975
573 8 24832
312 382 24007
771 182 6250
247 747 26223
944 176 1306
888 823 1225
336 262 23456
685 231 23487
613 199 25708
170 686 29103
901 185 7944
759 904 13575
341 600 25672
245 182 10828
68 272 26099
196 662 27016
734 340 10951
552 404 19028
486 50 7152
230 444 9460
600 532 30021
490 811 13384
108 318 31720
72 812 14199
639 608 22303
167 920 17315
219 503 21884
147 134 5382
940 809 23728
135 158 27717
610 721 19613
863 191 28646
261 231 20104
566 71 29471
347 876 28525
475 597 14974
882 727 4334
362 3 11295
768 822 15957
100 18 7265
696 573 23448
639 72 26973
758 765 615
546 201 9878
570 871 17833
313 323 1927
272 850 3573
677 213 21289
310 685 25067
647 203 17290
225 191 17266
359 274 7159
70 836 26445
918 295 17793
525 202 32391
508 112 13494
74 637 8606
185 248 3298
320 164 15225
2 120 22664
586 397 16708
344 309 28112
674 648 18963
263 434 3712
128 880 22702
40 318 29719
825 947 6297
734 117 20631
513 345 3189
175 21 446
58 75 10237
530 67 17961
361 929 8593
300 502 12737
532 830 8981
184 375 20749
936 241 13587
676 197 826
907 543 12371
35 122 8434
51 120 374
722 526 6754
104 198 26413
374 806 24824
120 483 24358
287 479 16839
21 788 32457
49 361 23438
751 841 19537
647 123 10191
638 605 8685
937 98 12426
652 656 2029
180 574 5228
96 611 5157
578 505 31118
72 294 3081
815 71 4897
226 543 5173
104 876 30873
877 787 29528
97 808 19764
199 692 10176
831 484 11500
646 701 5626
299 217 4148
523 125 15417
548 705 27167
555 462 27021
172 71 15534
843 611 18698
397 358 19842
560 150 28787
558 353 6443
675 595 24323
388 135 11705
302 697 17509
608 387 17772
571 22 20741
532 415 24722
281 777 2104
349 363 18920
905 923 25070
211 384 29481
678 448 19694
511 929 32646
694 516 9158
69 765 12350
718 222 13823
22 403 19351
463 568 29739
185 74 4309
142 802 26856
81 759 27670
28 585 16890
534 350 29455
522 802 5108
821 134 20514
315 105 2110
308 522 13128
63 210 6218
432 634 14523
634 575 10844
413 556 881
454 449 9015
142 654 7612
759 825 7551
227 447 7342
88 629 17085
916 126 4888
135 527 2882
693 301 10035
743 794 16731
548 387 10840
188 88 22940
288 177 29787
148 511 21790
128 417 3156
529 821 17423
679 256 26377
551 237 28136
704 640 18225
323 639 29203
832 374 9795
799 56 12030
78 140 3226
180 648 14016
183 256 30219
324 374 24536
92 220 23618
482 514 26043
260 419 21120
182 119 24612
826 498 22169
788 6 26978
313 165 10550
548 245 27419
600 293 13261
778 140 1594
634 219 19666
646 126 13831
899 13 6915
749 317 30616
23 923 32488
150 352 13844
292 922 21974
792 795 20878
865 142 11288
256 810 6486
877 257 7184
845 215 21527
548 155 13926
621 363 16155
926 118 29607
918 589 7046
457 612 27098
426 475 15218
269 81 24826
299 356 12426
97 248 27573
714 485 16920
75 798 24760
933 917 6389
7 757 6559
51 370 187
844 800 4229
499 719 17735
581 483 18225
360 603 5824
24 613 32462
846 796 28568
540 282 1636
725 439 4249
281 3 8572
946 370 2921
23 325 30147
128 647 19961
247 821 2427
81 635 16869
154 655 30237
913 38 26801
445 369 22918
352 174 31323
184 233 5487
894 64 32204
827 689 24627
284 185 11003
343 123 23307
555 159 13549
489 468 8513
726 470 28112
379 648 24845
742 750 8679
436 739 23072
403 208 5630
933 645 26367
792 781 23709
106 322 19904
170 362 16700
413 193 18890
369 263 27420
804 285 25502
366 356 8595
183 745 3296
156 906 23030
317 530 26125
491 67 31576
315 242 24743
686 216 7904
233 605 27585
887 312 4967
797 436 21031
747 526 8590
131 179 14496
360 635 2465
109 524 4087
117 299 1742
31 627 8652
563 366 23463
211 184 28772
105 724 6627
606 554 16619
687 293 3031
534 892 9443
13 845 28708
532 516 697
268 320 10374
258 572 18105
465 942 8916
611 79 23761
667 641 12160
401 10 10472
872 880 15171
745 641 14006
498 694 2492
914 563 7003
680 262 11556
176 522 21032
372 15 7012
595 774 2901
393 352 31537
685 853 16036
312 730 9220
913 613 11543
32 31 25085
273 288 9276
243 489 27408
893 312 6863
751 129 9496
114 819 29081
592 576 29851
825 409 5320
424 269 23144
161 290 14669
700 912 14933
800 777 20175
442 864 20422
925 101 19037
204 685 9414
686 147 30436
10 442 26327
618 694 20493
738 351 16585
588 527 24865
833 572 813
251 631 1262
425 244 27979
664 396 1262
559 263 26270
769 36 17701
432 642 32067
651 599 14182
535 372 6115
650 394 3070
597 792 2548
814 385 20227
744 154 12147
220 699 10416
516 428 29025
138 303 7312
858 210 9889
242 305 13937
325 152 15633
852 387 25936
902 7 1268
115 335 9149
573 202 27908
525 326 19050
224 480 1990
665 21 21730
851 257 25333
331 621 18840
922 808 8223
381 36 11727
200 564 27088
497 90 17167
629 639 25299
477 515 3869
871 2 5494
923 458 12465
688 251 18138
833 527 4702
636 113 30383
333 892 31344
581 498 19950
132 690 4517
795 836 24431
776 23 5125
863 86 29547
184 741 18005
675 13 13133
808 86 20434
278 776 32098
350 185 2862
121 426 64
60 17 4883
347 631 3070
773 674 3476
51 782 23451
624 916 22347
478 81 795
138 402 31265
615 941 16202
867 528 9453
700 791 10788
255 590 28782
693 274 25422
278 486 29514
898 439 7725
699 912 18973
885 119 20342
301 524 6586
56 195 29264
542 882 297
694 574 8543
485 767 15886
454 528 6732
841 154 16754
552 920 17069
650 679 27700
818 398 31579
662 378 29059
157 135 2954
422 43 17195
261 695 16210
943 600 16038
374 367 3423
66 835 25385
197 620 17919
840 419 30762
328 158 466
736 543 2314
694 587 20670
490 408 17906
15 381 6655
138 418 764
423 133 17501
886 186 1601
202 571 10745
695 498 27240
652 809 7474
3 913 24260
306 467 27779
395 298 20259
282 871 29049
536 442 19680
64 767 23307
303 515 16341
724 225 7667
141 25 16701
309 444 21990
626 30 23464
444 390 30907
741 792 4754
414 747 6354
534 16 22837
231 364 29428
343 592 25554
559 43 11919
339 583 18729
399 551 5365
84 14 26965
203 456 2640
831 247 25057
600 604 19920
319 461 21375
491 566 2573
209 738 1339
717 887 9834
896 63 27324
648 197 21322
458 598 20568
461 148 25707
151 314 17942
72 754 29656
179 342 32512
645 182 19748
893 910 19536
387 724 5096
444 659 13402
64 67 18884
388 841 29508
612 112 5967
615 103 2026
170 260 22715
594 550 22910
671 684 14870
634 574 4810
101 470 30829
654 298 5656
363 317 29765
124 642 31020
827 812 30490
260 704 23256
139 130 12527
215 904 11279
761 363 21517
24 246 17543
61 747 9344
890 295 24384
692 360 7683
324 53 30099
277 474 20038
537 924 28564
523 674 31453
335 313 22248
901 935 28990
310 144 13667
400 195 17545
784 9 6922
649 928 4128
141 529 32583
475 765 26413
547 560 24438
269 121 14508
547 532 12566
470 661 27798
927 461 2107
435 20 10806
284 468 17180
715 555 24799
101 462 12755
758 511 9071
209 80 7581
726 587 31844
291 853 21830
715 231 25462
758 701 3210
352 97 16105
332 192 31361
73 240 10782
357 216 18305
909 248 26630
697 339 5363
940 834 17280
366 297 18955
570 815 30933
875 592 26218
857 99 27332
775 631 30736
128 853 10975
631 224 1068
318 883 4139
549 768 19102
151 392 2115
741 514 23127
821 706 20065
720 816 218
935 541 4391
933 577 18813
10 433 6912
788 333 4422
850 106 6755
458 266 14970
733 379 32359
924 702 22324
686 722 20843
922 829 17561
599 541 24252
764 513 14474
498 157 4477
716 514 16871
466 310 10815
412 908 16311
378 437 30219
721 588 28117
144 370 27857
553 257 26100
138 785 22123
30 264 27156
212 592 7363
447 762 2495
251 273 5820
654 480 17837
238 837 10979
177 122 19861
769 875 31259
624 568 25183
557 893 8644
256 323 23279
513 745 25094
208 171 21564
509 54 24652
403 239 17790
491 261 10000
447 652 6022
522 506 15235
263 148 2729
14 17 30406
134 391 14534
546 441 5018
841 743 26951
18 72 25312
64 338 19246
150 782 10298
908 697 3480
59 276 3499
880 54 18737
333 612 14350
222 354 19849
610 169 8117
399 770 15199
102 107 14227
794 837 28969
105 16 29370
761 800 16773
890 445 11038
589 846 17253
364 291 7631
16 824 23045
138 359 28717
293 511 26379
280 266 20172
697 554 882
208 788 498
634 927 11261
912 566 7422
476 339 5230
453 423 1309
699 606 24756
537 899 16653
344 768 26056
188 438 9960
109 571 23544
523 255 24106
79 556 10960
588 611 7016
106 2 15070
588 661 18557
414 408 5118
732 805 18194
227 56 3841
490 191 29901
393 401 3842
197 785 25750
586 676 4008
909 861 6629
786 922 10142
107 233 13238
368 947 20417
627 225 17473
683 91 14151
178 866 3611
187 540 24290
762 299 11618
161 255 4394
921 154 26500
398 637 13753
889 328 1511
756 125 2476
869 811 14868
301 888 920
327 16 19002
309 586 25103
819 644 15144
224 117 27457
481 913 26887
406 125 2406
723 39 4731
192 704 752
808 410 20988
816 697 24250
740 186 28541
823 356 25513
303 612 26818
660 799 24701
411 161 6383
315 933 21443
594 814 6202
185 722 29998
202 103 21187
768 267 22709
777 762 508
927 909 14669
181 939 13874
821 214 15391
526 495 1548
217 35 32385
425 920 22557
162 847 20507
839 254 7902
351 233 26631
389 629 22953
676 38 32453
218 835 19852
546 734 20573
921 52 16149
600 335 28936
463 679 4694
316 750 25647
227 701 10461
941 529 22699
536 513 11610
215 849 7809
763 155 19220
805 307 10650
651 455 9108
730 748 4638
752 934 16126
146 349 20089
338 566 17431
600 716 11328
339 419 2797
813 495 9318
326 588 10637
494 223 23679
273 9 31837
668 478 18957
525 192 29676
589 772 19967
774 39 12369
506 192 3569
150 379 13945
847 721 7636
70 685 26095
532 757 2041
58 914 22018
689 400 15033
433 354 30554
801 898 10808
606 359 21335
578 551 23025
580 227 5327
219 879 21761
70 147 15881
154 887 11644
819 412 7683
716 366 14891
559 727 19302
734 538 18301
356 351 13754
780 757 7072
684 342 19891
561 154 22251
104 478 27563
888 236 12587
308 532 1963
80 820 10614
244 353 6291
260 820 16770
426 710 6200
339 116 7868
770 112 18583
108 498 14994
197 881 31344
799 760 30892
880 480 20447
757 517 21770
493 151 21970
860 885 13625
354 20 25968
31 922 3881
493 214 6849
20 148 23875
669 588 24648
743 191 2763
799 208 10049
430 411 29890
461 551 29375
47 317 6833
609 767 28656
866 685 30771
327 540 28
267 384 2833
305 661 26950
71 871 4935
12 8 26742
909 452 29022
177 95 11536
57 399 31946
724 611 26317
135 520 3927
314 243 6186
764 383 9168
901 383 23912
24 257 5461
583 66 23675
143 308 6694
272 604 11377
924 944 20432
501 816 17206
186 771 26615
718 34 28366
433 559 3123
775 321 6990
365 386 13501
779 878 14657
877 678 16609
169 932 4154
429 479 29035
359 790 14274
851 772 17543
188 483 25834
803 401 28631
900 750 17692
831 270 8356
937 52 20232
608 469 4973
944 305 22726
136 475 19285
652 682 28275
851 862 1809
709 329 26371
273 933 21604
865 690 7416
275 793 9300
500 527 3900
464 505 20883
849 24 4691
192 112 30682
318 665 13468
419 418 5669
791 735 6245
219 852 3851
408 297 23789
279 28 430
527 193 19381
742 53 31480
329 336 29105
126 554 29211
385 3 9260
433 937 13455
25 831 16260
731 152 9476
502 555 16908
276 71 19970
116 945 20401
724 120 5168
368 559 15154
765 846 7540
728 64 30738
771 851 6505
110 486 25740
284 917 19685
416 334 15660
273 353 25985
891 637 21468
846 881 31583
403 843 25226
29 265 5796
467 390 5550
419 947 23393
516 39 17753
145 719 31200
585 676 21398
389 526 31371
367 578 23876
396 389 17393
839 484 26286
894 808 7819
512 57 32657
842 667 19793
86 130 4687
119 818 25415
283 52 16508
48 743 7551
804 713 25359
771 664 26204
668 7 12032
374 44 9296
352 691 22017
41 91 7782
500 497 6441
687 320 32089
541 204 8362
248 479 8086
849 297 16606
287 394 29164
288 710 19363
306 471 10512
543 231 14473
725 538 3962
431 762 21185
18 548 4987
519 804 27916
5 216 12203
938 163 31519
263 888 15351
317 332 11568
882 368 16377
530 861 5549
739 480 3935
142 710 19021
710 400 24460
151 707 10488
31 736 12736
912 14 15930
547 849 28504
889 21 3643
945 28 32280
744 764 631
891 567 28789
155 744 19878
199 394 23123
230 130 1176
307 100 19646
758 194 17902
273 686 7042
722 725 25589
324 180 26028
518 811 27413
369 856 30301
789 200 25743
686 697 1396
928 238 10362
56 127 14331
71 873 17220
584 261 3678
787 381 12835
93 158 17103
521 844 22326
258 412 1127
53 338 20809
50 850 3045
846 642 11383
361 557 19738
513 90 30756
694 445 5214
434 477 1017
111 570 16811
261 892 10488
599 311 6953
639 188 25782
556 166 28500
802 279 31839
368 838 771
761 249 10779
103 246 8692
478 926 21208
362 2 10417
283 195 15289
415 630 5349
213 55 32144
596 6 9595
525 415 23085
350 318 26141
400 420 27247
600 550 14827
221 276 11599
771 355 10120
344 239 8038
925 834 23751
360 774 32666
182 921 10915
484 112 4343
679 230 10827
863 336 21211
414 25 25180
60 758 8196
315 339 12203
807 298 14877
55 67 30505
661 831 19164
324 155 20168
148 732 9427
520 849 26982
947 246 23938
98 450 13872
248 667 1863
176 803 24052
381 698 11584
283 170 8906
80 297 5608
759 532 19580
288 698 22042
53 677 23178
56 204 21593
778 701 13281
579 688 32087
792 33 18736
578 432 24432
832 755 27863
913 479 20082
337 561 20838
136 70 21340
212 167 20686
556 812 27698
816 943 11726
181 119 1078
403 715 28234
526 91 1828
282 170 2187
664 502 4675
608 771 13970
133 500 7280
387 455 10768
46 235 2664
515 10 24730
152 58 5882
536 124 19245
276 623 20205
447 514 11565
70 3 11964
294 6 22102
170 325 17526
390 497 30813
589 564 8802
104 122 9269
607 147 32573
578 177 17455
532 883 10022
876 514 32627
634 373 27796
746 522 10370
438 551 10990
446 477 31682
491 686 13467
351 331 21568
326 740 24980
231 127 14511
654 501 30174
175 878 30531
908 892 22318
241 319 32241
164 765 24456
747 792 19323
246 226 21131
22 645 24333
147 139 25858
172 918 26729
856 324 1758
897 649 767
21 463 16944
247 905 26089
766 749 8705
485 380 3077
78 163 27155
148 685 16037
932 26 1267
898 354 29323
579 74 32742
662 79 23078
136 549 17556
864 175 16725
222 347 3708
186 144 1559
881 871 28318
779 206 7917
811 141 6617
34 142 27355
545 125 20199
933 623 20558
257 510 26382
643 161 18258
168 341 12501
540 320 8402
62 398 5721
912 40 32743
833 321 22817
155 618 23385
879 373 27516
479 688 19677
282 942 13263
906 550 16570
749 203 24669
77 316 5082
267 413 29292
659 749 10094
874 385 24030
176 381 14515
918 449 5770
248 273 12410
748 521 14078
79 899 29050
567 602 9337
946 4 15773
939 693 16944
867 684 27077
443 178 31302
809 904 5306
878 240 11515
154 706 16704
268 339 1785
51 919 23688
236 671 26066
850 391 12661
78 586 24074
366 420 24183
566 82 14389
415 206 26330
1 662 25379
385 833 14820
821 785 30472
847 344 22811
800 494 2588
211 290 29824
822 115 20787
202 510 11945
696 131 26419
391 684 5117
272 665 11386
744 310 30594
9 311 2955
466 607 11514
900 868 8861
620 862 19266
586 414 27111
476 484 4913
144 429 31923
344 701 5738
789 743 16295
145 821 5854
190 882 18627
284 429 8943
830 187 15874
52 386 31602
539 143 26019
905 636 10246
847 945 28548
662 405 4984
595 731 8469
744 766 27949
481 206 5579
492 763 11718
461 812 17439
814 272 19581
689 685 31613
835 201 16360
911 412 10666
192 649 8238
84 44 2792
661 873 26523
850 46 29187
431 905 23481
441 124 31878
305 575 19509
390 450 8980
284 498 28320
221 230 2431
393 69 31649
913 24 30601
432 427 7362
577 939 18351
880 502 17352
369 425 561
544 321 21393
289 905 18890
230 683 18142
792 713 3286
228 655 23458
358 640 26852
90 372 18849
371 834 10206
415 929 16777
656 106 1348
198 82 28113
505 140 20287
559 401 244
581 634 19050
87 600 5359
132 369 20647
253 653 19974
194 204 16990
904 619 26425
653 673 24300
209 303 6389
923 583 17466
427 604 15076
37 165 32433
221 783 10214
171 936 2554
340 312 22427
709 697 14425
569 685 25352
738 777 31106
324 934 21048
937 347 15152
186 398 12015
792 704 27888
262 11 31937
936 410 24023
90 388 28978
238 279 1571
270 911 9893
23 121 10224
105 135 6982
224 81 22923
569 574 10551
735 359 20746
799 343 22429
194 96 31794
342 438 31850
545 812 24783
339 674 13562
460 119 16650
434 431 20430
601 661 23659
704 565 27670
139 801 12665
168 518 25547
141 704 11583
4 862 7033
132 26 3362
682 934 7963
141 912 11462
177 560 5521
202 839 23797
892 378 7309
802 582 454
743 605 7447
243 460 25976
415 945 11512
273 22 15035
92 898 11171
864 817 1111
436 304 2428
286 510 20863
203 368 7820
630 110 17706
18 160 12799
520 524 1086
92 460 26117
685 718 14725
823 151 13287
603 882 12185
775 702 4725
616 164 24645
291 170 21780
131 318 5657
586 325 23573
268 73 10265
272 126 24352
619 762 16598
466 846 208
643 195 22862
380 828 1754
915 817 25959
103 494 5206
32 723 29407
751 870 11263
415 496 32011
177 192 7810
508 22 18108
563 415 27962
638 813 31000
549 798 9197
438 783 24921
305 687 19550
10 283 16548
298 157 29906
662 936 2170
413 384 24290
268 509 25458
275 324 24101
941 100 23869
285 786 18076
736 570 11807
459 394 6382
308 606 28007
312 653 28354
821 166 2957
500 256 5098
461 704 16371
376 291 18717
16 480 24462
715 333 29539
450 805 10456
608 790 1934
806 19 18132
320 701 25423
923 763 28697
562 4 3526
372 710 26648
410 544 6055
710 830 6163
508 283 5953
890 862 17033
915 551 5898
8 200 20225
378 127 19843
94 688 9590
911 735 11153
723 537 22483
713 154 19094
624 411 15679
32 789 5620
428 369 30256
725 650 17347
6 943 24952
921 784 24285
33 275 10696
82 242 22671
324 380 4191
787 423 25228
256 56 17631
328 454 16889
629 316 17280
598 488 29356
668 915 10774
764 485 24049
679 429 2470
505 409 10867
542 141 15740
446 780 21274
284 839 4612
312 451 20735
644 882 2834
523 635 27401
548 528 3989
526 65 12901
784 809 13650
42 250 16352
376 461 3388
119 186 14210
709 385 10879
627 586 25926
114 406 27104
5 699 13481
238 198 9705
867 651 2809
655 84 9589
577 776 21750
196 825 27609
873 327 17643
556 729 22818
886 897 14986
747 772 28195
676 543 8235
838 894 23367
498 58 16711
411 944 4696
852 122 19517
759 408 13003
497 353 26057
381 934 9514
616 661 32437
364 256 26026
162 772 3239
273 776 10015
845 913 27930
541 697 28351
792 909 9706
677 452 24185
325 722 30969
470 377 26318
120 32 26829
923 148 23140
881 714 27207
30 804 11477
722 665 9143
225 384 21345
149 893 21499
650 9 6546
161 586 23669
838 476 5362
752 668 32492
770 251 2647
79 422 15548
771 674 23686
640 642 30439
625 87 20237
468 314 1757
46 611 22950
318 107 5652
601 237 18311
625 119 3786
285 122 15201
284 654 10890
67 784 15368
66 143 29512
788 575 30452
517 939 4655
496 537 15638
329 389 4982
57 847 13245
158 768 26837
418 373 5760
676 782 31869
417 665 2145
695 113 9362
808 336 8620
793 184 19352
840 154 30012
757 423 15456
310 665 806
656 454 16455
626 129 18440
416 300 13556
587 499 8038
397 470 31439
156 924 21713
67 68 12258
471 628 21216
240 19 8949
209 104 12312
813 897 22769
308 844 14673
642 556 29434
592 874 22085
104 880 19900
503 713 4167
643 367 25305
164 447 27730
769 792 23433
97 371 241
655 147 28607
151 717 1461
102 355 12141
437 513 23849
239 591 15307
111 446 7053
590 776 21664
811 82 7103
750 263 518
796 490 8464
836 603 7453
208 104 8199
547 717 6820
780 622 24884
309 688 20606
596 413 6309
586 29 2940
726 355 4508
130 192 15637
872 206 406
366 312 24773
282 650 18117
195 917 1870
187 695 5506
100 872 18963
324 586 13680
55 27 21315
538 932 14912
672 885 14225
645 820 27986
424 351 9376
462 39 13482
764 124 29566
731 147 30969
38 551 4281
744 95 12194
325 934 29677
700 591 3841
306 777 7913
17 253 25188
306 205 24760
557 129 16504
309 94 29484
917 148 25102
620 296 2501
205 270 20621
290 506 7936
540 344 27244
456 186 18812
761 673 8576
746 67 13432
633 287 10760
100 732 3975
752 187 25285
473 916 30624
644 796 23922
9 468 4044
67 95 27770
767 716 18968
565 413 17867
105 666 20903
259 166 29706
938 692 11499
904 586 18071
912 270 7020
667 193 1570
112 299 29872
808 480 14019
200 359 30236
177 234 29140
516 892 3044
206 187 12533
812 646 17766
267 686 4361
693 742 24453
938 520 28435
174 674 12256
607 911 6700
764 2 20978
637 334 32021
323 131 21382
105 399 26387
585 227 20482
265 801 20238
237 539 626
161 379 23857
791 373 25698
859 146 1656
545 268 989
846 841 25337
286 31 25907
596 574 29376
431 297 5461
787 858 3732
911 94 6115
276 867 6417
337 348 10304
593 240 31175
553 11 26443
861 547 20324
680 163 6032
103 344 26398
738 57 2057
611 250 14024
900 713 20936
123 198 9309
171 368 10016
667 357 8429
812 594 13102
430 922 22056
228 801 32461
646 888 11511
630 770 3153
938 535 6383
858 781 28075
475 527 10112
96 418 4286
427 550 8991
94 521 27658
116 475 31214
691 635 10749
513 496 21639
720 326 31627
279 541 13558
901 466 27346
560 861 24328
822 494 27903
943 380 624
682 130 7857
626 834 29824
711 64 6273
758 295 2653
524 42 12674
664 117 9720
852 672 25554
186 881 5942
844 866 27541
937 146 24587
37 735 13044
698 483 1398
1 417 15848
540 686 12441
756 224 7945
608 308 19049
612 364 6807
746 419 16812
583 283 3948
275 873 7734
534 401 5539
9 148 13737
144 379 4368
67 934 5418
686 230 18918
384 369 20667
86 116 2073
395 565 13383
796 258 15958
703 339 7037
557 471 6072
247 405 19724
107 720 18297
177 282 27366
209 407 23627
176 652 11398
415 170 8488
494 14 31096
530 72 21428
634 706 27030
93 624 15495
172 903 32171
899 718 4089
497 564 24196
537 32 32324
242 150 27031
622 380 4125
288 577 6596
391 205 26895
106 546 16353
360 274 23357
191 202 20999
921 424 28761
738 453 10727
794 340 14829
10 945 10629
136 564 28495
885 88 15150
450 345 10708
37 300 19593
751 560 25
32 151 3595
177 555 26501
945 24 14141
694 747 15569
142 146 23936
7 495 3720
67 594 26637
65 371 32464
47 469 24805
196 304 15509
125 453 24550
77 575 7465
601 880 17841
670 46 30971
255 165 22484
193 382 20399
900 38 28573
23 258 121
344 510 17450
267 371 20105
497 912 2202
932 304 21218
270 846 32104
721 101 13310
403 63 16464
854 258 20739
381 580 10329
120 605 20862
638 379 25555
15 618 3029
529 636 27757
658 776 17395
523 587 18855
563 275 12515
864 173 5207
49 493 21321
858 563 19959
440 481 16381
2 662 29930
100 782 26938
923 584 13831
479 880 25574
477 614 8037
242 686 13115
399 678 7528
123 870 29303
818 516 4206
383 192 2557
724 829 1371
256 266 22957
586 70 17012
734 56 8408
587 53 19813
445 634 14744
356 893 12607
155 643 21035
226 188 9806
13 573 12076
175 436 5914
902 385 3374
914 931 23731
139 306 15170
306 316 9020
763 482 8659
936 185 10302
410 75 10172
445 455 17157
904 640 11792
441 210 31438
347 384 14990
461 565 21130
796 823 2775
404 593 1196
611 901 16857
462 364 5990
371 84 20010
65 350 11235
403 577 17218
400 338 2908
743 518 30930
464 444 19228
410 360 10938
643 424 31954
358 624 22849
426 192 21180
547 832 7314
129 906 30609
240 548 20419
62 292 10300
96 450 14015
554 722 29115
11 753 24555
43 501 24519
320 375 19818
377 536 30988
914 308 15165
213 295 11289
639 383 28347
222 834 23637
918 372 12567
920 237 8342
208 933 14822
206 331 3380
613 321 12261
194 270 8617
523 421 21877
176 653 13848
596 444 17284
633 8 8031
454 421 4311
432 435 16500
167 148 15606
295 322 30275
342 562 32041
87 309 18242
205 300 28487
454 73 4731
673 390 2371
134 433 12731
321 569 11710
526 191 12579
441 842 27910
557 661 29268
367 162 30535
888 447 23529
600 138 28643
880 335 9723
772 35 31520
13 119 31465
638 610 22191
858 803 3987
206 401 25282
375 81 6346
702 784 1189
455 641 11180
1 309 3346
671 48 13592
362 792 7100
205 687 22662
35 325 9928
913 57 16612
139 195 10282
335 723 20040
218 685 19487
21 351 8602
711 741 9016
472 565 25468
252 127 8125
175 528 22049
624 137 22856
47 455 22990
46 458 740
777 507 6713
838 929 32547
107 643 12038
98 96 23257
789 362 9232
285 490 647
327 160 11842
85 5 3989
875 71 22565
628 795 25071
508 366 15735
396 159 12202
406 394 3937
785 381 6053
928 760 9001
186 476 25975
77 427 19314
356 530 25605
939 208 16489
446 845 10638
842 643 30059
848 598 787
627 753 31503
147 550 24165
77 307 665
937 499 6464
579 632 21561
257 401 16700
94 10 7079
590 413 25464
179 3 26371
807 154 23629
939 247 8693
238 596 30319
882 506 19335
707 361 26170
5 374 12084
581 227 6444
285 553 6679
254 500 15026
860 808 27462
558 861 1749
859 286 2745
512 809 22630
226 80 21588
172 907 9148
247 808 27875
456 443 4139
607 443 21807
450 315 29098
233 291 29559
610 498 20847
245 540 17899
4 228 20330
523 738 4353
105 744 16352
506 592 12985
547 80 20377
74 706 24623
789 697 32347
597 529 1285
761 404 12972
488 100 21648
549 483 23314
740 939 27344
908 178 20546
710 97 12176
146 42 18689
9 562 6223
49 21 31658
273 462 30131
373 784 21138
91 387 16323
664 808 12215
689 768 24593
18 896 29070
449 846 23450
859 496 3523
465 819 1554
436 338 30790
280 703 9926
694 711 31745
45 503 15210
685 88 30722
538 757 24413
906 316 28423
786 54 24150
398 505 20649
760 521 12146
297 757 10907
641 49 4631
198 40 21938
631 832 22578
579 32 1468
204 353 8623
203 116 13386
458 752 31553
300 91 32243
569 595 1754
25 706 1734
74 23 7766
666 907 9691
26 248 20815
821 60 16714
766 899 17685
524 906 15086
230 883 27191
887 505 25530
820 757 15660
866 862 28306
643 166 28654
470 791 7393
121 157 30896
858 465 11875
379 601 9720
699 440 19167
181 370 4793
607 561 30658
691 252 13638
907 324 1239
466 33 23099
293 657 669
677 576 14505
679 715 6617
359 197 32551
250 531 20352
295 663 20886
469 122 12557
545 560 15810
506 825 25820
427 154 16668
298 735 30497
883 267 9284
245 301 18326
65 762 16674
36 116 1268
698 131 20147
576 362 31442
593 279 6628
33 324 27523
27 864 13569
689 864 4864
